,Episode,Mean,Stddev
0,   0.00000,  22.30000,  11.11800
1,   1.00000,  25.60000,  17.08918
2,   2.00000,  22.00000,  10.08960
3,   3.00000,  29.30000,  14.31118
4,   4.00000,  13.90000,   4.78435
5,   5.00000,  14.20000,   4.04475
6,   6.00000,  14.80000,   3.94462
7,   7.00000,  11.90000,   3.80657
8,   8.00000,  17.90000,  13.04186
9,   9.00000,  12.70000,   5.47814
10,  10.00000,  11.70000,   3.10000
11,  11.00000,  10.30000,   0.78102
12,  12.00000,  16.60000,   6.45291
13,  13.00000,   9.70000,   0.78102
14,  14.00000,  19.60000,   9.24338
15,  15.00000,  22.60000,   5.04381
16,  16.00000,  14.70000,   7.36274
17,  17.00000,  22.60000,   5.91946
18,  18.00000,  22.00000,   6.52687
19,  19.00000,  22.90000,   3.75366
20,  20.00000,  11.50000,   4.92443
21,  21.00000,  19.00000,   7.68115
22,  22.00000,  10.30000,   1.26886
23,  23.00000,  10.10000,   0.70000
24,  24.00000,  16.50000,   6.97496
25,  25.00000,  24.20000,   4.46766
26,  26.00000,  11.00000,   1.00000
27,  27.00000,  10.90000,   1.22066
28,  28.00000,  24.00000,   4.69042
29,  29.00000,  17.40000,   7.87655
30,  30.00000,  20.70000,   7.05762
31,  31.00000,  17.60000,  10.99272
32,  32.00000,  25.70000,   9.02275
33,  33.00000,  20.20000,   6.80882
34,  34.00000,  16.40000,   7.51266
35,  35.00000,  14.40000,   6.59090
36,  36.00000,  17.80000,   7.48064
37,  37.00000,  16.00000,   7.66812
38,  38.00000,  19.10000,   7.51598
39,  39.00000,  24.40000,  14.32620
40,  40.00000,  20.00000,   6.73795
41,  41.00000,  12.40000,   5.31413
42,  42.00000,  15.30000,   7.70779
43,  43.00000,  17.40000,   6.48383
44,  44.00000,  13.70000,   6.01747
45,  45.00000,  12.30000,   5.31131
46,  46.00000,  11.20000,   3.62767
47,  47.00000,  17.90000,   7.94292
48,  48.00000,  11.80000,   3.68239
49,  49.00000,  14.10000,   7.87972
50,  50.00000,  13.50000,   6.93181
51,  51.00000,  12.50000,   3.44238
52,  52.00000,   9.90000,   2.16564
53,  53.00000,  14.10000,   6.54905
54,  54.00000,  16.80000,   8.73842
55,  55.00000,  14.60000,   7.69675
56,  56.00000,  13.30000,   4.62709
57,  57.00000,  13.40000,   7.22772
58,  58.00000,  20.40000,  13.10114
59,  59.00000,  29.60000,  14.27725
60,  60.00000,  48.20000,  18.18681
61,  61.00000,  78.10000,  32.56824
62,  62.00000,  80.20000,  29.18493
63,  63.00000, 115.30000,  28.52034
64,  64.00000, 138.30000,  36.14429
65,  65.00000, 197.20000, 164.22777
66,  66.00000, 218.10000,  72.60640
67,  67.00000, 193.00000,  64.92611
68,  68.00000, 291.60000,  38.01105
69,  69.00000, 213.60000,  44.82008
70,  70.00000, 360.70000,  63.84677
71,  71.00000, 285.10000,  37.35626
72,  72.00000, 357.10000,  61.10556
73,  73.00000, 289.10000,  42.19822
74,  74.00000, 270.80000,  21.84399
75,  75.00000, 258.70000,  21.72119
76,  76.00000, 400.60000,  64.20935
77,  77.00000, 391.20000,  66.78143
78,  78.00000, 288.30000,  23.22951
79,  79.00000, 365.70000,  28.97602
80,  80.00000, 426.90000,  57.29127
81,  81.00000, 414.00000,  55.21413
82,  82.00000, 468.00000,  55.15252
83,  83.00000, 445.20000,  49.20732
84,  84.00000, 366.20000,  55.23006
85,  85.00000, 372.50000,  24.07177
86,  86.00000, 390.30000,  25.82266
87,  87.00000, 450.80000,  35.84913
88,  88.00000, 400.60000,  23.98416
89,  89.00000, 391.30000,  14.47791
90,  90.00000, 319.20000,  14.07693
91,  91.00000, 283.10000,   8.93812
92,  92.00000, 324.80000,   9.88737
93,  93.00000, 266.70000,   9.05594
94,  94.00000, 279.00000,   8.98888
95,  95.00000, 321.20000,  12.97536
96,  96.00000, 277.20000,   6.01332
97,  97.00000, 299.60000,   7.53923
98,  98.00000, 299.60000,  10.88301
99,  99.00000, 221.70000,   6.90000
100, 100.00000, 208.20000,   5.49181
101, 101.00000, 257.70000,  13.12288
102, 102.00000, 212.10000,  11.44072
103, 103.00000, 197.50000,   5.44518
104, 104.00000, 191.20000,   4.51221
105, 105.00000, 214.20000,   8.55336
106, 106.00000, 192.10000,   5.10784
107, 107.00000, 160.90000,   5.12738
108, 108.00000, 216.80000,  12.51239
109, 109.00000, 182.40000,   6.11882
110, 110.00000, 193.80000,  12.31097
111, 111.00000, 451.00000,  80.57791
112, 112.00000, 167.60000,   2.90517
113, 113.00000, 213.70000,  10.15923
114, 114.00000, 180.70000,   5.49636
115, 115.00000, 372.10000, 128.25479
116, 116.00000, 197.70000,  21.18042
117, 117.00000, 168.80000,   3.84187
118, 118.00000, 191.30000,  13.14572
119, 119.00000, 168.80000,   6.25780
120, 120.00000, 196.30000,  14.84621
121, 121.00000, 164.40000,   4.67333
122, 122.00000, 175.20000,   7.82049
123, 123.00000, 366.40000,  94.82953
124, 124.00000, 183.10000,  11.46691
125, 125.00000, 260.10000,  37.95906
126, 126.00000, 244.90000,  38.51091
127, 127.00000, 235.20000,  33.55533
128, 128.00000, 160.20000,   6.56963
129, 129.00000, 164.40000,   4.34051
130, 130.00000, 222.60000,  18.00111
131, 131.00000, 175.00000,  11.97497
132, 132.00000, 211.10000,  12.58928
133, 133.00000, 165.40000,   5.71314
134, 134.00000, 440.70000,  84.21645
135, 135.00000, 183.30000,   7.23948
136, 136.00000, 169.10000,   8.25167
137, 137.00000, 155.90000,   6.02412
138, 138.00000, 139.90000,   3.47707
139, 139.00000, 219.00000,  14.24079
140, 140.00000, 151.20000,   5.41849
141, 141.00000, 165.20000,   4.79166
142, 142.00000, 186.50000,   7.57958
143, 143.00000, 167.40000,   8.16333
144, 144.00000, 174.30000,   5.58659
145, 145.00000, 160.70000,   5.29245
146, 146.00000, 159.00000,   5.96657
147, 147.00000, 161.50000,   5.08429
148, 148.00000, 184.40000,  13.41044
149, 149.00000, 157.00000,   6.32456
150, 150.00000, 449.30000,  78.44240
151, 151.00000, 160.50000,   9.28709
152, 152.00000, 145.50000,   4.56618
153, 153.00000, 139.70000,  35.48535
154, 154.00000, 141.40000,   7.61840
155, 155.00000, 149.70000,   7.97559
156, 156.00000, 157.60000,   9.96193
157, 157.00000, 154.30000,  20.24870
158, 158.00000, 145.90000,  14.98966
159, 159.00000, 134.80000,  13.51888
160, 160.00000, 142.50000,   3.93065
161, 161.00000, 135.50000,  24.64244
162, 162.00000, 148.00000,  18.87326
163, 163.00000, 138.40000,   8.76584
164, 164.00000, 139.50000,   9.28709
165, 165.00000, 121.30000,  28.54488
166, 166.00000, 130.50000,  20.38750
167, 167.00000, 228.80000, 150.90580
168, 168.00000, 135.80000,  29.55605
169, 169.00000, 112.30000,  36.26858
170, 170.00000, 149.50000,   7.76209
171, 171.00000, 244.00000, 102.64405
172, 172.00000, 136.60000,   7.73563
173, 173.00000, 150.90000,   9.03825
174, 174.00000, 114.40000,  17.49971
175, 175.00000, 132.70000,   6.46607
176, 176.00000, 142.60000,   8.05233
177, 177.00000, 122.40000,  27.03405
178, 178.00000, 175.70000,  89.77867
179, 179.00000, 224.70000, 104.69389
180, 180.00000, 133.30000,   8.84364
181, 181.00000, 145.50000,  15.48709
182, 182.00000, 155.30000,  24.58068
183, 183.00000, 125.90000,   5.70000
184, 184.00000, 141.70000,   6.69403
185, 185.00000, 154.60000,  42.07184
186, 186.00000, 121.60000,  27.08948
187, 187.00000, 132.40000,  46.70161
188, 188.00000, 148.10000,  22.11990
189, 189.00000, 145.90000,  10.58726
190, 190.00000, 142.00000,   4.35890
191, 191.00000, 160.40000,  14.39583
192, 192.00000, 148.60000,  13.04761
193, 193.00000, 153.60000,  14.58218
194, 194.00000, 117.90000,  18.38178
195, 195.00000, 133.70000,   5.38609
196, 196.00000, 155.30000,   5.17784
197, 197.00000, 159.30000,   4.07554
198, 198.00000, 161.20000,  18.99368
199, 199.00000, 164.90000,  47.01585
200, 200.00000, 139.00000,   4.47214
201, 201.00000, 174.60000,  22.11877
202, 202.00000, 160.00000,  10.83513
203, 203.00000, 184.90000,  22.26410
204, 204.00000, 186.80000,  45.68326
205, 205.00000, 190.70000,  21.01452
206, 206.00000, 214.60000,  24.24129
207, 207.00000, 249.40000,  17.56815
208, 208.00000, 195.20000,  72.18282
209, 209.00000, 245.10000,  42.42040
210, 210.00000, 212.40000,  14.47204
211, 211.00000, 200.80000,  63.49614
212, 212.00000, 212.80000,  21.45134
213, 213.00000, 278.40000,  26.26100
214, 214.00000, 234.40000,  68.26888
215, 215.00000, 241.70000,  28.21010
216, 216.00000, 255.30000,  36.94063
217, 217.00000, 265.80000,  44.36395
218, 218.00000, 193.10000,  12.37295
