,Episode,Mean,Stddev
0,   0.00000,  19.20000,   9.31450
1,   1.00000,  19.10000,   7.02068
2,   2.00000,  23.00000,  13.72589
3,   3.00000,  21.70000,   8.17374
4,   4.00000,  15.30000,   4.14849
5,   5.00000,  17.40000,   9.23255
6,   6.00000,  19.60000,   5.55338
7,   7.00000,  21.40000,   9.25419
8,   8.00000,  11.80000,   3.09192
9,   9.00000,  13.00000,   4.19524
10,  10.00000,  15.40000,  10.69766
11,  11.00000,  11.10000,   2.50799
12,  12.00000,  11.20000,   4.33128
13,  13.00000,  12.20000,   4.21426
14,  14.00000,  14.00000,   5.54977
15,  15.00000,  12.80000,   4.46766
16,  16.00000,  12.20000,   4.46766
17,  17.00000,  10.20000,   0.74833
18,  18.00000,  10.10000,   1.30000
19,  19.00000,  10.40000,   1.80000
20,  20.00000,  10.90000,   4.45982
21,  21.00000,  10.10000,   1.22066
22,  22.00000,   9.60000,   1.01980
23,  23.00000,   9.60000,   0.80000
24,  24.00000,   9.80000,   1.53623
25,  25.00000,   9.20000,   0.74833
26,  26.00000,  10.20000,   1.66132
27,  27.00000,   9.60000,   0.80000
28,  28.00000,   9.30000,   0.64031
29,  29.00000,   8.90000,   0.70000
30,  30.00000,   9.10000,   0.94340
31,  31.00000,   9.50000,   0.92195
32,  32.00000,   9.50000,   0.67082
33,  33.00000,   9.70000,   0.78102
34,  34.00000,  10.00000,   0.77460
35,  35.00000,   9.10000,   0.83066
36,  36.00000,   9.50000,   0.50000
37,  37.00000,   9.00000,   0.77460
38,  38.00000,  10.00000,   1.41421
39,  39.00000,   9.60000,   0.66332
40,  40.00000,   9.60000,   0.66332
41,  41.00000,   9.70000,   1.00499
42,  42.00000,   9.60000,   0.48990
43,  43.00000,   9.20000,   0.60000
44,  44.00000,   9.50000,   0.50000
45,  45.00000,   9.10000,   0.53852
46,  46.00000,   9.70000,   0.90000
47,  47.00000,  13.40000,  11.92644
48,  48.00000,   9.40000,   1.01980
49,  49.00000,   9.40000,   0.66332
50,  50.00000,   9.00000,   0.63246
51,  51.00000,   9.80000,   0.74833
52,  52.00000,   9.20000,   0.74833
53,  53.00000,   9.50000,   0.50000
54,  54.00000,   9.60000,   0.66332
55,  55.00000,   9.60000,   0.48990
56,  56.00000,   9.50000,   0.92195
57,  57.00000,   9.30000,   0.45826
58,  58.00000,   9.50000,   0.67082
59,  59.00000,   9.10000,   0.83066
60,  60.00000,  11.60000,   3.49857
61,  61.00000,   9.70000,   0.64031
62,  62.00000,   9.20000,   0.87178
63,  63.00000,   9.40000,   0.66332
64,  64.00000,  10.00000,   1.00000
65,  65.00000,  10.40000,   2.90517
66,  66.00000,  12.50000,   4.22493
67,  67.00000,  10.60000,   2.90517
68,  68.00000,  11.90000,   4.30000
69,  69.00000,  12.60000,   4.49889
70,  70.00000,  13.20000,   3.94462
71,  71.00000,  19.60000,   1.28062
72,  72.00000,  20.50000,   1.28452
73,  73.00000,  22.40000,   1.28062
74,  74.00000,  22.10000,   1.57797
75,  75.00000,  23.60000,   4.71593
76,  76.00000,  29.20000,   5.07543
77,  77.00000,  29.10000,   2.62488
78,  78.00000,  29.00000,   5.67450
79,  79.00000,  27.30000,   5.51453
80,  80.00000,  26.10000,   8.47880
81,  81.00000,  28.00000,   7.60263
82,  82.00000,  23.40000,   9.81020
83,  83.00000,  18.20000,   4.40000
84,  84.00000,  21.10000,   5.14684
85,  85.00000,  22.20000,   3.54401
86,  86.00000,  19.70000,   4.64866
87,  87.00000,  21.30000,   3.71618
88,  88.00000,  21.50000,   4.98498
89,  89.00000,  18.30000,   3.22645
90,  90.00000,  20.30000,   6.29365
91,  91.00000,  44.40000,   8.22435
92,  92.00000,  47.40000,  12.53156
93,  93.00000,  69.60000,  17.87848
94,  94.00000,  72.90000,  22.19212
95,  95.00000,  58.10000,   9.94435
96,  96.00000,  96.00000,  35.44573
97,  97.00000,  82.50000,  22.24073
98,  98.00000,  80.70000,  26.03478
99,  99.00000,  90.70000,  24.96417
