,Episode,Mean,Stddev
0,   0.00000,  56.80000,  27.79137
1,   1.00000,  44.40000,  24.10477
2,   2.00000,  74.60000,  52.03114
3,   3.00000,  50.00000,  27.25436
4,   4.00000,  24.90000,   8.82553
5,   5.00000,  24.80000,   5.60000
6,   6.00000,  25.20000,  10.14692
7,   7.00000,  22.20000,   5.28772
8,   8.00000,  19.70000,   7.25328
9,   9.00000,  20.60000,   6.40625
10,  10.00000,  21.60000,   7.97747
11,  11.00000,  20.60000,   6.71118
12,  12.00000,  22.60000,   5.71314
13,  13.00000,  19.50000,   6.71193
14,  14.00000,  20.30000,   4.75500
15,  15.00000,  20.90000,   6.54905
16,  16.00000,  20.90000,   8.66545
17,  17.00000,  21.70000,   4.69148
18,  18.00000,  17.50000,   5.23927
19,  19.00000,  22.40000,   2.72764
20,  20.00000,  19.80000,   6.93974
21,  21.00000,  20.60000,   5.64269
22,  22.00000,  21.30000,   5.62228
23,  23.00000,  21.60000,   4.36348
24,  24.00000,  20.70000,   4.62709
25,  25.00000,  20.30000,   4.56180
26,  26.00000,  17.00000,   5.65685
27,  27.00000,  20.00000,   6.01664
28,  28.00000,  20.80000,   7.06824
29,  29.00000,  21.20000,   6.66033
30,  30.00000,  19.80000,   5.30660
31,  31.00000,  17.60000,   5.88558
32,  32.00000,  18.30000,   5.93380
33,  33.00000,  18.90000,   6.47225
34,  34.00000,  17.60000,   4.90306
35,  35.00000,  18.20000,   6.70522
36,  36.00000,  19.60000,   6.80000
37,  37.00000,  21.70000,   5.55068
38,  38.00000,  21.10000,   4.06079
39,  39.00000,  21.70000,   5.56866
40,  40.00000,  24.50000,   5.00500
41,  41.00000,  18.60000,   6.03656
42,  42.00000,  24.20000,   5.21153
43,  43.00000,  18.10000,   5.00899
44,  44.00000,  23.60000,   5.95315
45,  45.00000,  18.00000,   5.45894
46,  46.00000,  17.40000,   5.46260
47,  47.00000,  22.90000,   4.74236
48,  48.00000,  20.10000,   5.80431
49,  49.00000,  22.70000,   5.79741
50,  50.00000,  19.10000,   4.70000
51,  51.00000,  21.40000,   4.60869
52,  52.00000,  18.80000,   4.72864
53,  53.00000,  18.20000,   5.40000
54,  54.00000,  22.70000,   6.58863
55,  55.00000,  24.60000,   6.24820
56,  56.00000,  17.30000,   5.55068
57,  57.00000,  23.80000,   4.48999
58,  58.00000,  19.40000,   7.14423
59,  59.00000,  18.00000,   5.09902
60,  60.00000,  17.60000,   6.11882
61,  61.00000,  19.70000,   5.55068
62,  62.00000,  22.10000,   9.86357
63,  63.00000,  19.20000,   5.47357
64,  64.00000,  20.00000,   4.04969
65,  65.00000,  16.40000,   4.15211
66,  66.00000,  20.30000,   4.87955
67,  67.00000,  20.40000,   4.27083
68,  68.00000,  18.60000,   5.33292
69,  69.00000,  16.70000,   6.18142
70,  70.00000,  18.60000,   5.88558
71,  71.00000,  20.30000,   5.65774
72,  72.00000,  19.80000,   6.12862
73,  73.00000,  20.30000,   5.27352
74,  74.00000,  18.20000,   5.41849
75,  75.00000,  18.60000,   5.66039
76,  76.00000,  20.20000,   5.74108
77,  77.00000,  22.40000,   7.96492
78,  78.00000,  21.80000,   6.04649
79,  79.00000,  20.90000,   6.62495
80,  80.00000,  19.80000,   5.05569
81,  81.00000,  18.50000,   6.43817
82,  82.00000,  24.40000,   7.45922
83,  83.00000,  17.00000,   5.19615
84,  84.00000,  20.30000,   6.84178
85,  85.00000,  22.90000,   4.25323
86,  86.00000,  19.30000,   5.76281
