,Episode,Reward,std
0,   0.00000,  29.50000,   8.53522
1,   1.00000,  20.40000,  12.03495
2,   2.00000,  20.00000,   9.64365
3,   3.00000,  20.30000,  10.33489
4,   4.00000,  14.70000,   4.00125
5,   5.00000,  13.70000,   5.51453
6,   6.00000,  15.00000,   5.45894
7,   7.00000,  15.00000,   5.53173
8,   8.00000,  20.80000,   7.20833
9,   9.00000,  17.60000,   5.27636
10,  10.00000,  13.10000,   3.41906
11,  11.00000,  13.50000,   3.07409
12,  12.00000,  11.50000,   2.10950
13,  13.00000,  13.10000,   2.73679
14,  14.00000,  10.90000,   2.38537
15,  15.00000,  11.30000,   1.84662
16,  16.00000,  14.40000,   3.69324
17,  17.00000,  13.00000,   2.09762
18,  18.00000,  11.60000,   2.24499
19,  19.00000,  11.70000,   2.45153
20,  20.00000,  10.20000,   1.07703
21,  21.00000,  12.70000,   2.53180
22,  22.00000,  12.20000,   1.60000
23,  23.00000,  11.80000,   1.66132
24,  24.00000,  15.80000,   4.16653
25,  25.00000,  11.60000,   1.80000
26,  26.00000,  19.70000,   3.74299
27,  27.00000,  14.50000,   3.41321
28,  28.00000,  15.00000,   2.79285
29,  29.00000,  20.30000,   3.00167
30,  30.00000,   9.30000,   0.64031
31,  31.00000,  10.10000,   0.70000
32,  32.00000,  20.20000,   3.89358
33,  33.00000,  11.50000,   2.01246
34,  34.00000,  22.90000,   5.10784
35,  35.00000,  13.30000,   1.84662
36,  36.00000,  12.90000,   0.94340
37,  37.00000,  22.90000,   4.15812
38,  38.00000,  15.10000,   2.46779
39,  39.00000,  19.90000,   4.82597
40,  40.00000,  22.80000,   4.97594
41,  41.00000,  21.80000,   4.21426
42,  42.00000,  21.20000,   5.28772
43,  43.00000,  16.40000,   3.77359
44,  44.00000,  18.40000,   3.35261
45,  45.00000,  27.40000,   7.03136
46,  46.00000,  31.10000,  18.92855
47,  47.00000,  22.20000,   4.97594
48,  48.00000,  22.60000,  16.04494
49,  49.00000,  24.50000,  19.20547
50,  50.00000,  38.20000,  15.01866
51,  51.00000,  30.70000,  13.16852
52,  52.00000,  27.00000,  17.30318
53,  53.00000,  18.80000,   9.09725
54,  54.00000,  23.30000,  17.40144
55,  55.00000,  35.70000,  25.88069
56,  56.00000,  18.90000,  12.47758
57,  57.00000,  35.60000,  17.30433
58,  58.00000,  31.90000,   8.66545
59,  59.00000,  21.00000,  10.63955
60,  60.00000,  36.80000,  19.92887
61,  61.00000,  24.50000,  14.21443
62,  62.00000,  54.00000,  18.79362
63,  63.00000,  52.50000,  15.71782
64,  64.00000,  55.50000,  11.89328
65,  65.00000,  55.10000,  18.04134
66,  66.00000,  58.50000,  12.53196
67,  67.00000,  54.30000,  17.98360
68,  68.00000,  45.60000,   7.63151
69,  69.00000,  54.70000,  13.76989
70,  70.00000,  64.20000,   9.61041
71,  71.00000,  50.90000,   9.96444
72,  72.00000,  68.30000,  16.54116
73,  73.00000,  55.60000,   8.93532
74,  74.00000,  60.90000,   7.87972
75,  75.00000,  58.60000,   6.08605
76,  76.00000,  74.60000,  10.84620
77,  77.00000,  72.10000,   9.39628
78,  78.00000,  87.10000,  11.01317
79,  79.00000,  77.40000,  12.15072
80,  80.00000, 102.60000,  11.37717
81,  81.00000,  61.80000,   7.49400
82,  82.00000,  68.50000,  14.86102
83,  83.00000,  67.00000,  10.28591
84,  84.00000,  68.80000,   5.07543
85,  85.00000,  64.40000,   8.85664
86,  86.00000,  80.10000,  11.91176
87,  87.00000,  70.10000,   7.91770
88,  88.00000,  79.10000,  11.01317
89,  89.00000,  72.00000,  13.44619
90,  90.00000, 105.50000,  20.73282
91,  91.00000,  83.60000,   6.20000
92,  92.00000,  90.50000,  12.46796
93,  93.00000,  73.30000,  12.22334
94,  94.00000,  86.90000,  11.22007
95,  95.00000,  85.90000,  13.07249
96,  96.00000, 118.00000,  16.16787
97,  97.00000, 115.50000,  12.34706
98,  98.00000, 136.10000,  16.86683
99,  99.00000, 130.70000,  13.08472
100, 100.00000, 133.70000,   6.21369
101, 101.00000, 126.20000,  13.07517
102, 102.00000, 135.60000,  14.68469
103, 103.00000, 135.80000,  12.30285
104, 104.00000, 137.10000,  10.99500
105, 105.00000, 134.60000,  10.80000
106, 106.00000, 139.00000,  10.36340
107, 107.00000, 125.50000,   8.54693
108, 108.00000, 122.50000,   8.55862
109, 109.00000, 123.40000,   9.63535
110, 110.00000, 125.40000,   8.03990
111, 111.00000, 131.90000,   8.78009
112, 112.00000, 128.80000,   7.87147
113, 113.00000, 133.20000,   8.56505
114, 114.00000, 131.50000,   4.63141
115, 115.00000, 129.40000,  10.49952
116, 116.00000, 124.80000,   8.25591
117, 117.00000, 122.10000,   4.45982
118, 118.00000, 122.10000,   7.98060
119, 119.00000, 131.50000,   4.56618
120, 120.00000, 128.00000,   5.60357
121, 121.00000, 133.30000,   8.82100
122, 122.00000, 126.90000,   7.96806
123, 123.00000, 134.30000,   7.78524
124, 124.00000, 123.40000,   5.40740
125, 125.00000, 129.60000,   8.70862
126, 126.00000, 127.50000,   8.10247
127, 127.00000, 131.50000,   8.62844
128, 128.00000, 125.70000,   5.65774
129, 129.00000, 126.80000,   6.86731
130, 130.00000, 134.80000,  10.07770
131, 131.00000, 131.30000,   6.24580
132, 132.00000, 127.20000,   4.91528
133, 133.00000, 129.20000,   4.83322
134, 134.00000, 134.30000,   8.87750
135, 135.00000, 136.30000,   6.05062
136, 136.00000, 128.50000,   7.95299
137, 137.00000, 123.20000,   6.47765
138, 138.00000, 124.40000,   5.04381
139, 139.00000, 134.60000,   5.93633
140, 140.00000, 135.70000,  13.17611
141, 141.00000, 126.00000,   8.40238
142, 142.00000, 127.30000,   6.76831
143, 143.00000, 134.90000,  10.95856
144, 144.00000, 128.20000,   7.11056
145, 145.00000, 128.40000,   6.68132
146, 146.00000, 130.30000,   7.64264
147, 147.00000, 127.30000,   5.56866
148, 148.00000, 123.00000,   5.36656
149, 149.00000, 120.50000,   6.31269
150, 150.00000, 118.10000,   5.00899
151, 151.00000, 117.10000,   4.30000
152, 152.00000, 123.30000,   5.62228
153, 153.00000, 121.40000,   5.49909
154, 154.00000, 122.60000,   4.05463
155, 155.00000, 115.70000,   4.69148
156, 156.00000, 114.90000,   5.64712
157, 157.00000, 116.00000,   2.23607
158, 158.00000, 122.50000,   5.50000
159, 159.00000, 118.00000,   2.00000
160, 160.00000, 128.40000,   4.65188
161, 161.00000, 124.30000,   5.79741
162, 162.00000, 128.50000,   7.28354
163, 163.00000, 125.80000,   5.05569
164, 164.00000, 120.30000,   4.10000
165, 165.00000, 119.50000,   4.52217
166, 166.00000, 117.50000,   3.64005
167, 167.00000, 119.60000,   4.58694
168, 168.00000, 116.60000,   3.72022
169, 169.00000, 120.30000,   2.75862
170, 170.00000, 116.10000,   4.08534
171, 171.00000, 125.40000,   8.23650
172, 172.00000, 122.50000,   5.62583
173, 173.00000, 121.30000,   4.77598
174, 174.00000, 124.40000,   5.76541
175, 175.00000, 121.50000,   5.38981
176, 176.00000, 114.50000,   5.38981
177, 177.00000, 127.90000,  12.73931
178, 178.00000, 115.50000,   3.95601
179, 179.00000, 119.40000,   3.87814
180, 180.00000, 113.80000,   3.45832
181, 181.00000, 118.60000,   4.54313
182, 182.00000, 116.30000,   4.47325
183, 183.00000, 118.00000,   3.89872
184, 184.00000, 115.80000,   5.11468
185, 185.00000, 114.90000,   5.28110
186, 186.00000, 115.10000,   3.78021
187, 187.00000, 117.90000,   4.63573
188, 188.00000, 117.10000,   4.50444
189, 189.00000, 117.90000,   3.47707
190, 190.00000, 132.80000,   6.47765
191, 191.00000, 120.60000,   5.38888
192, 192.00000, 122.00000,   5.32917
193, 193.00000, 126.10000,   8.47880
194, 194.00000, 118.50000,   6.94622
195, 195.00000, 131.30000,  11.39342
196, 196.00000, 115.50000,   6.65207
197, 197.00000, 121.60000,   4.98397
198, 198.00000, 117.60000,   4.22374
199, 199.00000, 121.90000,   7.79038
200, 200.00000, 112.90000,   3.23883
201, 201.00000, 117.60000,   4.31741
202, 202.00000, 113.70000,   3.92556
203, 203.00000, 121.10000,   4.86724
204, 204.00000, 123.60000,   6.57571
205, 205.00000, 123.20000,  11.24989
206, 206.00000, 116.80000,   6.01332
207, 207.00000, 115.20000,   3.34066
208, 208.00000, 110.30000,   3.63456
209, 209.00000, 120.10000,   7.43572
210, 210.00000, 120.70000,   8.90000
211, 211.00000, 121.70000,   4.77598
212, 212.00000, 126.60000,   7.25534
213, 213.00000, 113.40000,   4.60869
214, 214.00000, 127.10000,   4.54863
215, 215.00000, 115.50000,   3.29393
216, 216.00000, 120.10000,   3.72693
217, 217.00000, 110.20000,   4.99600
218, 218.00000, 112.90000,   3.91024
219, 219.00000, 118.80000,   6.88186
220, 220.00000, 118.30000,   9.94032
221, 221.00000, 112.70000,   3.49428
222, 222.00000, 114.80000,   5.81034
223, 223.00000, 111.00000,   4.12311
224, 224.00000, 111.00000,   3.13050
225, 225.00000, 114.60000,   5.23832
226, 226.00000, 112.00000,   5.07937
227, 227.00000, 110.90000,   3.30000
228, 228.00000, 110.70000,   3.63456
229, 229.00000, 114.50000,   5.85235
230, 230.00000, 118.40000,   4.73709
231, 231.00000, 114.10000,   5.28110
232, 232.00000, 123.80000,   6.58483
233, 233.00000, 113.50000,   4.78017
234, 234.00000, 108.10000,   4.98899
235, 235.00000, 111.90000,   4.15812
236, 236.00000, 111.60000,   3.66606
237, 237.00000, 110.00000,   4.33590
238, 238.00000, 114.70000,   4.07554
239, 239.00000, 109.00000,   4.62601
240, 240.00000, 115.40000,   5.25738
241, 241.00000, 115.20000,   5.24976
242, 242.00000, 114.70000,   5.29245
243, 243.00000, 113.10000,   5.00899
244, 244.00000, 129.80000,  16.69611
245, 245.00000, 120.20000,   4.51221
246, 246.00000, 124.70000,   7.93788
247, 247.00000, 126.70000,  13.45400
248, 248.00000, 126.30000,  10.87244
249, 249.00000, 121.50000,  10.50000
