,Episode,Reward,std
0,   0.00000,  50.60000,  14.93452
1,   1.00000,  25.40000,   6.13514
2,   2.00000,  24.30000,   1.73494
3,   3.00000,  22.70000,   4.87955
4,   4.00000,  25.90000,   3.88458
5,   5.00000,  24.30000,   2.75862
6,   6.00000,  23.30000,   4.45084
7,   7.00000,  23.20000,   2.78568
8,   8.00000,  24.60000,   4.02989
9,   9.00000,  25.50000,   4.65296
10,  10.00000,  27.80000,   6.40000
11,  11.00000,  24.60000,   4.38634
12,  12.00000,  24.00000,   3.22490
13,  13.00000,  23.80000,   2.52190
14,  14.00000,  22.70000,   4.31393
15,  15.00000,  24.30000,   2.36854
16,  16.00000,  23.80000,   3.31059
17,  17.00000,  26.20000,   4.11825
18,  18.00000,  22.50000,   4.31856
19,  19.00000,  24.20000,   2.35797
20,  20.00000,  25.10000,   2.16564
21,  21.00000,  22.90000,   2.46779
22,  22.00000,  25.90000,   3.36006
23,  23.00000,  23.70000,   2.86531
24,  24.00000,  22.50000,   3.00832
25,  25.00000,  22.40000,   2.83549
26,  26.00000,  23.80000,   4.04475
27,  27.00000,  21.70000,   4.24382
28,  28.00000,  23.50000,   5.10392
29,  29.00000,  25.90000,   2.11896
30,  30.00000,  27.70000,   3.63456
31,  31.00000,  24.10000,   4.78435
32,  32.00000,  24.80000,   5.09510
33,  33.00000,  23.70000,   4.26732
34,  34.00000,  25.40000,   2.61534
35,  35.00000,  25.00000,   4.26615
36,  36.00000,  26.00000,   1.73205
37,  37.00000,  24.40000,   3.61109
38,  38.00000,  24.30000,   3.46554
39,  39.00000,  26.70000,   3.49428
40,  40.00000,  23.30000,   3.40735
41,  41.00000,  24.70000,   3.00167
42,  42.00000,  22.70000,   3.03480
43,  43.00000,  23.10000,   3.61801
44,  44.00000,  22.10000,   3.64555
45,  45.00000,  26.30000,   4.40568
46,  46.00000,  21.70000,   5.56866
47,  47.00000,  24.00000,   4.28952
48,  48.00000,  25.10000,   2.62488
49,  49.00000,  26.10000,   9.47048
50,  50.00000,  26.50000,   5.23927
51,  51.00000,  25.20000,   7.01142
52,  52.00000,  26.70000,   5.34883
53,  53.00000,  27.00000,   8.12404
54,  54.00000,  26.10000,   5.66480
55,  55.00000,  22.50000,   4.08044
56,  56.00000,  27.80000,   7.71751
57,  57.00000,  24.70000,   2.86531
58,  58.00000,  25.00000,   3.54965
59,  59.00000,  25.60000,   2.69072
60,  60.00000,  24.60000,   2.05913
