,Episode,Reward,std
0,   0.00000,  22.90000,  16.80744
1,   1.00000,  21.40000,   7.85111
2,   2.00000,  24.70000,   9.78826
3,   3.00000,  20.20000,  10.30340
4,   4.00000,  19.90000,   9.41754
5,   5.00000,  17.50000,  11.97706
6,   6.00000,  14.60000,   5.85150
7,   7.00000,  13.50000,   3.32415
8,   8.00000,  11.10000,   2.38537
9,   9.00000,  13.10000,   2.30000
10,  10.00000,  14.40000,   3.87814
11,  11.00000,  13.40000,   2.24499
12,  12.00000,  13.00000,   1.34164
13,  13.00000,  12.20000,   2.18174
14,  14.00000,  13.60000,   2.53772
15,  15.00000,  12.30000,   3.13209
16,  16.00000,  15.20000,   4.11825
17,  17.00000,  14.00000,   7.41620
18,  18.00000,  12.60000,   2.87054
19,  19.00000,  10.50000,   2.80179
20,  20.00000,  14.10000,   6.90579
21,  21.00000,  11.90000,   5.18556
22,  22.00000,  13.00000,   2.52982
23,  23.00000,  12.60000,   2.41661
24,  24.00000,  10.20000,   2.08806
25,  25.00000,   9.90000,   0.83066
26,  26.00000,   9.40000,   0.66332
27,  27.00000,   8.90000,   1.22066
28,  28.00000,   9.30000,   0.64031
29,  29.00000,  10.00000,   1.78885
30,  30.00000,   9.70000,   0.64031
31,  31.00000,   9.90000,   0.94340
32,  32.00000,  11.00000,   1.48324
33,  33.00000,  11.70000,   3.40735
34,  34.00000,  14.60000,  10.45179
35,  35.00000,  10.20000,   1.98997
36,  36.00000,  11.50000,   2.33452
37,  37.00000,  10.20000,   1.07703
38,  38.00000,  10.20000,   1.77764
39,  39.00000,  10.20000,   1.07703
40,  40.00000,   9.40000,   0.91652
41,  41.00000,  11.90000,   2.87924
42,  42.00000,  13.20000,   2.74955
43,  43.00000,  12.40000,   3.87814
44,  44.00000,  12.70000,   3.49428
45,  45.00000,  22.10000,   2.84429
46,  46.00000,  14.30000,   7.01498
47,  47.00000,  33.70000,  23.07401
48,  48.00000,  22.90000,   4.27668
49,  49.00000,  21.70000,   5.90000
50,  50.00000,  17.70000,   7.28080
51,  51.00000,  24.30000,   1.10000
52,  52.00000,  18.80000,   8.25591
53,  53.00000,  20.40000,   6.31189
54,  54.00000,  23.00000,   6.06630
55,  55.00000,  21.10000,   6.07371
56,  56.00000,  20.80000,   6.89638
57,  57.00000,  17.40000,   6.48383
58,  58.00000,  22.60000,  14.53410
59,  59.00000,  23.10000,   5.76975
60,  60.00000,  19.90000,  10.96768
61,  61.00000,  20.30000,   8.85494
62,  62.00000,  60.90000,  36.92547
63,  63.00000,  25.30000,  10.91833
64,  64.00000,  45.00000,  21.52673
65,  65.00000,  64.90000,  32.54059
66,  66.00000, 100.00000,  22.96955
67,  67.00000, 188.50000,  38.64001
68,  68.00000, 128.70000,  28.29505
69,  69.00000, 147.00000,  41.62691
70,  70.00000, 153.30000,  32.10623
71,  71.00000, 131.60000,  28.47876
72,  72.00000, 146.90000,  47.64546
73,  73.00000, 141.70000,  24.69028
74,  74.00000, 152.30000,  21.96383
75,  75.00000, 212.80000, 100.26645
76,  76.00000, 229.00000,  85.68547
77,  77.00000, 232.90000,  57.75543
