,Episode,Reward,std
0,   0.00000,  20.00000,   8.16088
1,   1.00000,  25.40000,  15.78734
2,   2.00000,  29.50000,  19.40747
3,   3.00000,  12.50000,   3.07409
4,   4.00000,  15.20000,   3.99500
5,   5.00000,  41.00000,  13.81304
6,   6.00000,  25.90000,   6.62495
7,   7.00000,  22.80000,   3.15595
8,   8.00000,  17.30000,   5.95063
9,   9.00000,  14.80000,   1.77764
10,  10.00000,  12.80000,   3.54401
11,  11.00000,  11.70000,   1.10000
12,  12.00000,  11.50000,   1.50000
13,  13.00000,  10.60000,   0.66332
14,  14.00000,  12.00000,   1.54919
15,  15.00000,  10.20000,   0.60000
16,  16.00000,  11.80000,   2.18174
17,  17.00000,  12.40000,   1.01980
18,  18.00000,  11.90000,   1.04403
19,  19.00000,  10.30000,   1.18743
20,  20.00000,  11.20000,   1.46969
21,  21.00000,  11.30000,   0.78102
22,  22.00000,   9.20000,   1.16619
23,  23.00000,   9.70000,   1.10000
24,  24.00000,  10.50000,   0.80623
25,  25.00000,  11.30000,   0.90000
26,  26.00000,  11.20000,   0.60000
27,  27.00000,  14.70000,   6.90000
28,  28.00000,  10.90000,   1.22066
29,  29.00000,  11.40000,   1.28062
30,  30.00000,  11.60000,   1.01980
31,  31.00000,  10.70000,   1.26886
32,  32.00000,  11.00000,   1.18322
33,  33.00000,  11.20000,   1.53623
34,  34.00000,  15.30000,   3.60694
35,  35.00000,  10.20000,   1.24900
36,  36.00000,  10.50000,   0.92195
37,  37.00000,  13.30000,   2.86531
38,  38.00000,  14.90000,   2.80891
39,  39.00000,  13.50000,   3.07409
40,  40.00000,  11.70000,   1.10000
41,  41.00000,  10.20000,   1.16619
42,  42.00000,  15.70000,   3.76962
43,  43.00000,  12.40000,   2.20000
44,  44.00000,  15.70000,   3.52278
45,  45.00000,  14.00000,   4.35890
46,  46.00000,  15.20000,   3.05941
47,  47.00000,  13.00000,   2.48998
48,  48.00000,  12.70000,   3.43657
49,  49.00000,  15.20000,   2.63818
50,  50.00000,  20.60000,   6.57571
51,  51.00000,  18.60000,   6.52993
52,  52.00000,  15.00000,   4.12311
53,  53.00000,  14.70000,   4.71275
54,  54.00000,  20.10000,   5.64712
55,  55.00000,  15.90000,   6.89130
56,  56.00000,  10.50000,   4.86313
57,  57.00000,  14.40000,   4.92341
58,  58.00000,  12.10000,   3.33017
59,  59.00000,  16.40000,   5.29528
60,  60.00000,  13.30000,   5.31131
61,  61.00000,  18.60000,   7.98999
62,  62.00000,  12.80000,   6.44670
63,  63.00000,  13.90000,   8.58429
64,  64.00000,  13.60000,   8.21219
65,  65.00000,  14.80000,   9.76524
66,  66.00000,  20.00000,  15.52417
67,  67.00000,  17.40000,   8.36899
68,  68.00000,  15.20000,   3.91918
69,  69.00000,  14.80000,   6.56963
70,  70.00000,  36.00000,  26.97777
71,  71.00000,  27.60000,  21.21886
72,  72.00000,  48.60000,  18.60215
73,  73.00000,  29.60000,  20.35780
74,  74.00000,  77.00000,  25.75267
75,  75.00000, 244.30000, 138.15647
76,  76.00000, 173.60000,  43.12354
77,  77.00000,  95.00000,  25.05195
78,  78.00000, 165.60000,  53.98185
79,  79.00000, 117.00000,  24.78709
80,  80.00000,  93.90000,  18.98131
81,  81.00000, 100.10000,  24.42724
82,  82.00000, 113.40000,  21.96907
83,  83.00000, 121.10000,  32.99530
84,  84.00000, 108.10000,  22.98891
85,  85.00000, 115.10000,  28.99121
86,  86.00000, 145.90000,  64.89908
87,  87.00000, 117.40000,  25.82325
88,  88.00000, 122.10000,  49.50848
89,  89.00000, 112.90000,  26.13982
90,  90.00000, 112.40000,  25.89286
91,  91.00000, 110.00000,  22.19009
92,  92.00000, 132.30000,  60.65814
93,  93.00000, 134.60000,  38.40885
94,  94.00000, 139.20000,  43.02046
95,  95.00000, 153.90000,  45.61239
96,  96.00000, 165.80000,  50.78937
97,  97.00000, 158.40000,  77.00416
98,  98.00000, 158.60000,  35.61236
99,  99.00000, 190.10000,  53.67020
100, 100.00000, 161.40000,  28.24960
101, 101.00000, 183.90000,  50.97342
