,Episode,Reward,std
0,   0.00000,  54.30000,  18.34148
1,   1.00000,  33.80000,   8.40000
2,   2.00000,  26.20000,   5.56417
3,   3.00000,  22.10000,   5.71752
4,   4.00000,  21.30000,   9.24175
5,   5.00000,  22.60000,   9.53100
6,   6.00000,  23.80000,   7.08237
7,   7.00000,  20.60000,   5.69561
8,   8.00000,  20.10000,   6.71491
9,   9.00000,  21.30000,   6.38827
10,  10.00000,  19.30000,   7.08590
11,  11.00000,  19.10000,   7.27255
12,  12.00000,  21.30000,   5.79741
13,  13.00000,  21.00000,   6.89928
14,  14.00000,  21.50000,   3.85357
15,  15.00000,  17.20000,   6.11228
16,  16.00000,  15.90000,   5.99083
17,  17.00000,  18.80000,   5.91270
18,  18.00000,  19.70000,   4.45084
19,  19.00000,  19.30000,   6.46607
20,  20.00000,  18.00000,   8.93308
21,  21.00000,  18.50000,   4.84252
22,  22.00000,  19.40000,   6.10246
23,  23.00000,  21.30000,   4.92037
24,  24.00000,  20.50000,   7.21457
25,  25.00000,  21.20000,   5.41849
26,  26.00000,  18.60000,   6.48383
27,  27.00000,  20.50000,   5.90339
28,  28.00000,  20.10000,   6.42573
29,  29.00000,  18.40000,   5.67803
30,  30.00000,  19.40000,   5.66039
31,  31.00000,  19.80000,   5.17301
32,  32.00000,  19.20000,   6.33719
33,  33.00000,  20.80000,   5.97997
34,  34.00000,  19.00000,   6.35610
35,  35.00000,  20.80000,   5.65332
36,  36.00000,  17.20000,   3.62767
37,  37.00000,  17.70000,   4.19643
38,  38.00000,  19.30000,   4.94065
39,  39.00000,  18.40000,   6.48383
40,  40.00000,  18.90000,   5.82151
41,  41.00000,  18.50000,   4.78017
42,  42.00000,  17.90000,   6.20403
43,  43.00000,  18.00000,   5.19615
44,  44.00000,  17.80000,   6.24179
45,  45.00000,  19.30000,   4.58367
46,  46.00000,  19.80000,   6.55439
47,  47.00000,  22.10000,   4.82597
48,  48.00000,  17.60000,   5.33292
49,  49.00000,  20.80000,   5.01597
50,  50.00000,  16.70000,   5.06063
51,  51.00000,  23.90000,   2.77308
52,  52.00000,  18.30000,   6.54294
53,  53.00000,  18.80000,   5.60000
54,  54.00000,  19.60000,   6.03656
55,  55.00000,  19.70000,   5.71052
56,  56.00000,  23.20000,   4.55631
57,  57.00000,  20.20000,   4.85386
58,  58.00000,  20.60000,   5.85150
59,  59.00000,  19.40000,   6.16766
60,  60.00000,  17.40000,   5.93633
61,  61.00000,  17.40000,   5.98665
62,  62.00000,  20.70000,   4.29069
63,  63.00000,  19.40000,   6.26418
64,  64.00000,  22.10000,   5.59375
65,  65.00000,  22.80000,   4.42267
66,  66.00000,  19.70000,   6.43506
67,  67.00000,  19.90000,   5.92368
68,  68.00000,  20.80000,   5.17301
69,  69.00000,  19.90000,   4.74236
70,  70.00000,  16.80000,   6.24179
71,  71.00000,  19.90000,   6.59469
72,  72.00000,  18.00000,   6.79706
73,  73.00000,  21.40000,   5.23832
74,  74.00000,  17.90000,   5.08822
75,  75.00000,  17.40000,   5.25738
76,  76.00000,  18.90000,   5.35630
77,  77.00000,  19.90000,   5.43047
78,  78.00000,  19.50000,   5.74891
79,  79.00000,  16.00000,   4.95984
80,  80.00000,  18.60000,   5.55338
81,  81.00000,  22.70000,   4.31393
82,  82.00000,  17.40000,   6.31189
83,  83.00000,  20.80000,   5.01597
84,  84.00000,  23.40000,   3.52704
85,  85.00000,  20.20000,   5.19230
86,  86.00000,  21.40000,   5.29528
87,  87.00000,  19.00000,   6.03324
88,  88.00000,  18.60000,   5.83438
89,  89.00000,  21.20000,   5.32541
90,  90.00000,  20.00000,   5.84808
91,  91.00000,  20.70000,   4.79687
92,  92.00000,  18.80000,   5.17301
93,  93.00000,  19.50000,   5.31507
94,  94.00000,  19.40000,   6.87314
95,  95.00000,  17.80000,   5.21153
96,  96.00000,  19.50000,   5.10392
97,  97.00000,  21.90000,   5.87282
98,  98.00000,  22.00000,   3.89872
99,  99.00000,  20.30000,   5.96741
100, 100.00000,  19.70000,   5.72800
101, 101.00000,  18.60000,   6.82935
102, 102.00000,  22.30000,   7.37631
103, 103.00000,  19.00000,   6.01664
104, 104.00000,  18.40000,   6.21611
105, 105.00000,  19.40000,   5.21920
106, 106.00000,  21.10000,   6.07371
107, 107.00000,  22.10000,   6.97782
108, 108.00000,  21.50000,   4.86313
109, 109.00000,  20.70000,   6.14898
110, 110.00000,  20.70000,   5.65774
111, 111.00000,  23.60000,   9.60417
112, 112.00000,  17.60000,   3.97995
113, 113.00000,  16.60000,   5.08331
114, 114.00000,  20.50000,   5.76628
115, 115.00000,  30.80000,  10.40961
116, 116.00000,  16.40000,   4.92341
117, 117.00000,  23.40000,   7.24155
118, 118.00000,  16.90000,   7.64788
119, 119.00000,  24.60000,  11.25344
120, 120.00000,  25.60000,   6.03656
121, 121.00000,  26.30000,   9.96042
122, 122.00000,  22.10000,   9.92421
123, 123.00000,  22.10000,   9.02718
124, 124.00000,  20.90000,  10.43504
125, 125.00000,  22.20000,   7.08237
126, 126.00000,  29.00000,  12.19016
127, 127.00000,  23.60000,  10.45179
128, 128.00000,  25.20000,   8.15843
129, 129.00000,  33.70000,  15.55667
130, 130.00000,  28.40000,   8.94651
131, 131.00000,  19.70000,   8.36720
132, 132.00000,  26.90000,  10.40625
133, 133.00000,  25.20000,  16.83330
134, 134.00000,  31.30000,  16.98853
135, 135.00000,  22.70000,   8.45044
136, 136.00000,  27.50000,  14.26359
137, 137.00000,  40.30000,  17.34387
138, 138.00000,  41.80000,  15.32188
139, 139.00000,  40.90000,  19.27408
