,Episode,Reward,std
0,   0.00000,  18.80000,  11.77115
1,   1.00000,  17.10000,   5.31883
2,   2.00000,  21.90000,   8.71149
3,   3.00000,  22.10000,   7.94292
4,   4.00000,  19.90000,  14.61814
5,   5.00000,  19.60000,   9.98198
6,   6.00000,  17.10000,   7.51598
7,   7.00000,  14.50000,   4.36463
8,   8.00000,  16.60000,   5.20000
9,   9.00000,  12.80000,   5.11468
10,  10.00000,  12.20000,   4.01995
11,  11.00000,  12.00000,   3.43511
12,  12.00000,  11.50000,   2.41868
13,  13.00000,  11.40000,   3.20000
14,  14.00000,  11.40000,   2.97321
15,  15.00000,  10.10000,   1.37477
16,  16.00000,  10.80000,   3.28024
17,  17.00000,   9.70000,   1.18743
18,  18.00000,  11.40000,   3.10483
19,  19.00000,   9.90000,   1.04403
20,  20.00000,  10.60000,   1.49666
21,  21.00000,  10.00000,   1.18322
22,  22.00000,  10.20000,   1.24900
23,  23.00000,   9.40000,   0.66332
24,  24.00000,   9.50000,   0.92195
25,  25.00000,   9.90000,   0.94340
26,  26.00000,   9.80000,   0.97980
27,  27.00000,  11.50000,   1.62788
28,  28.00000,   9.40000,   0.91652
29,  29.00000,   9.40000,   0.66332
30,  30.00000,   9.50000,   0.92195
31,  31.00000,   9.80000,   1.16619
32,  32.00000,   9.60000,   1.11355
33,  33.00000,   9.40000,   0.66332
34,  34.00000,   9.30000,   0.64031
35,  35.00000,   9.80000,   0.60000
36,  36.00000,   9.70000,   0.78102
37,  37.00000,   9.00000,   0.77460
38,  38.00000,   9.50000,   0.50000
39,  39.00000,   9.50000,   0.67082
40,  40.00000,   9.20000,   0.74833
41,  41.00000,   8.70000,   0.64031
42,  42.00000,   9.10000,   0.30000
43,  43.00000,   9.10000,   0.83066
44,  44.00000,   8.90000,   0.70000
45,  45.00000,   9.10000,   0.83066
46,  46.00000,   9.60000,   1.01980
47,  47.00000,  10.50000,   0.80623
48,  48.00000,   9.20000,   0.74833
49,  49.00000,  10.90000,   4.74236
50,  50.00000,  15.60000,  10.12126
51,  51.00000,  16.70000,   5.13907
52,  52.00000,  16.10000,   5.28110
53,  53.00000,  16.10000,   5.06853
54,  54.00000,  18.20000,   2.74955
55,  55.00000,  27.30000,  16.29141
56,  56.00000,  24.60000,   6.90217
57,  57.00000,  23.20000,   4.42267
58,  58.00000,  28.20000,  10.21567
59,  59.00000,  16.80000,   3.96989
60,  60.00000,  20.60000,   3.72022
61,  61.00000,  16.40000,   3.07246
62,  62.00000,  17.30000,   1.61555
63,  63.00000,  15.40000,   1.85472
64,  64.00000,  15.80000,   2.22711
65,  65.00000,  14.80000,   2.52190
66,  66.00000,  16.20000,   3.09192
67,  67.00000,  14.60000,   2.10713
68,  68.00000,  15.10000,   1.75784
69,  69.00000,  13.70000,   2.05183
70,  70.00000,  14.50000,   2.97489
71,  71.00000,  16.20000,   2.44131
72,  72.00000,  15.80000,   1.46969
73,  73.00000,  14.40000,   2.72764
74,  74.00000,  16.30000,   2.53180
75,  75.00000,  14.80000,   3.12410
76,  76.00000,  18.10000,   2.87924
77,  77.00000,  23.00000,   8.76356
78,  78.00000,  22.80000,   9.43186
79,  79.00000,  26.00000,  12.23928
80,  80.00000,  17.60000,   8.56971
81,  81.00000,  21.30000,  11.57627
82,  82.00000,  24.60000,   6.29603
83,  83.00000,  18.60000,   7.44580
84,  84.00000,  19.30000,   6.41950
85,  85.00000,  22.00000,   5.40370
86,  86.00000,  27.80000,  12.82030
87,  87.00000,  21.60000,   5.20000
88,  88.00000,  21.90000,   4.13401
89,  89.00000,  26.40000,   5.38888
90,  90.00000,  25.90000,  10.44462
91,  91.00000,  28.50000,   6.71193
92,  92.00000,  32.10000,  15.10927
93,  93.00000,  36.40000,  21.70346
94,  94.00000,  37.70000,  15.64001
95,  95.00000,  62.00000,  42.37924
96,  96.00000,  56.10000,  41.89618
97,  97.00000,  46.80000,   9.58958
98,  98.00000,  49.50000,  12.71417
99,  99.00000,  47.60000,  14.63694
100, 100.00000,  41.20000,  15.55506
101, 101.00000,  53.80000,  21.51186
102, 102.00000,  61.90000,  19.29482
103, 103.00000,  61.60000,  14.90772
104, 104.00000,  59.00000,  13.37909
105, 105.00000,  73.60000,  18.58602
106, 106.00000,  66.40000,  16.41463
107, 107.00000,  81.80000,  22.59115
108, 108.00000, 105.50000,  36.92222
109, 109.00000,  94.10000,  28.19734
110, 110.00000, 108.50000,  42.04105
111, 111.00000, 110.70000,  14.17780
112, 112.00000, 157.00000,  58.50128
113, 113.00000, 153.50000,  11.89328
114, 114.00000, 108.10000,  14.98299
115, 115.00000, 104.10000,  15.24106
116, 116.00000, 138.00000,  25.00000
117, 117.00000, 141.50000,  10.80046
118, 118.00000, 157.20000,  18.26910
119, 119.00000, 174.00000,  28.88598
120, 120.00000, 162.30000,  11.24322
121, 121.00000, 223.20000,  24.15285
122, 122.00000, 173.40000,   9.47840
123, 123.00000, 194.50000,  20.91531
124, 124.00000, 179.90000,  28.74874
125, 125.00000, 196.20000,  20.79327
126, 126.00000, 193.10000,  30.95949
127, 127.00000, 177.30000,  16.73947
128, 128.00000, 221.40000,  62.27712
129, 129.00000, 183.60000,  21.29413
130, 130.00000, 197.00000,  23.57541
131, 131.00000, 161.30000,   9.04489
132, 132.00000, 162.80000,   9.55824
133, 133.00000, 176.20000,  22.43123
134, 134.00000, 180.90000,  17.20145
135, 135.00000, 182.10000,  21.19174
136, 136.00000, 158.10000,   8.49058
137, 137.00000, 162.10000,  14.48758
138, 138.00000, 172.70000,  11.00045
139, 139.00000, 163.30000,  13.40933
140, 140.00000, 164.60000,  12.71377
141, 141.00000, 158.20000,  14.68877
142, 142.00000, 163.30000,  14.45718
143, 143.00000, 157.50000,   9.00278
144, 144.00000, 168.40000,  17.84489
145, 145.00000, 156.00000,  12.57776
146, 146.00000, 154.20000,   9.65194
147, 147.00000, 158.60000,   7.22772
148, 148.00000, 159.60000,  13.03994
149, 149.00000, 158.20000,  10.43839
150, 150.00000, 174.50000,  13.78586
151, 151.00000, 158.20000,  12.60793
152, 152.00000, 161.90000,  12.03703
153, 153.00000, 165.10000,  20.99262
154, 154.00000, 149.60000,   8.12650
155, 155.00000, 150.00000,  10.59245
156, 156.00000, 154.40000,  13.71277
157, 157.00000, 148.40000,  10.16071
158, 158.00000, 160.00000,  14.35270
159, 159.00000, 155.40000,  14.79324
160, 160.00000, 158.80000,  11.02543
161, 161.00000, 155.50000,  10.70747
162, 162.00000, 153.20000,  15.87325
163, 163.00000, 155.60000,  13.23027
164, 164.00000, 144.20000,   7.33212
165, 165.00000, 163.00000,  21.89977
166, 166.00000, 153.30000,  16.94137
167, 167.00000, 168.60000,  27.43429
168, 168.00000, 150.50000,  17.45995
169, 169.00000, 160.00000,  18.65476
170, 170.00000, 150.90000,  14.35584
171, 171.00000, 145.40000,  13.18484
172, 172.00000, 155.50000,  18.11215
173, 173.00000, 156.90000,  17.10234
174, 174.00000, 165.80000,  16.80357
175, 175.00000, 169.40000,  37.60904
176, 176.00000, 185.70000,  37.42205
177, 177.00000, 148.70000,  11.00954
178, 178.00000, 168.00000,  25.04795
179, 179.00000, 151.80000,  14.67515
180, 180.00000, 170.20000,  29.79866
181, 181.00000, 198.90000,  33.52149
182, 182.00000, 174.70000,  58.59019
183, 183.00000, 143.10000,  11.42322
184, 184.00000, 148.60000,  12.90116
185, 185.00000, 146.40000,  22.52643
186, 186.00000, 169.80000,  45.31843
187, 187.00000, 148.00000,  13.51296
188, 188.00000, 143.60000,  10.85541
189, 189.00000, 151.10000,  16.37345
190, 190.00000, 142.00000,  12.96919
191, 191.00000, 145.40000,   9.87117
192, 192.00000, 148.10000,  10.17300
193, 193.00000, 142.90000,  10.58726
194, 194.00000, 156.00000,  20.02498
195, 195.00000, 148.00000,  13.68211
196, 196.00000, 162.80000,  18.45427
197, 197.00000, 177.90000,  38.24513
198, 198.00000, 319.80000, 134.25036
199, 199.00000, 206.10000,  24.41086
200, 200.00000, 173.70000,  18.57983
201, 201.00000, 156.70000,  24.42970
202, 202.00000, 149.70000,   8.33127
203, 203.00000, 175.70000,  37.17271
204, 204.00000, 195.80000,  50.61778
205, 205.00000, 330.50000, 122.50980
206, 206.00000, 383.70000, 122.34464
207, 207.00000, 212.50000,  46.26067
208, 208.00000, 247.30000, 106.55426
209, 209.00000, 244.80000,  97.11725
210, 210.00000, 158.30000,  23.11731
211, 211.00000, 188.40000,  16.04494
212, 212.00000, 152.40000,  13.19242
213, 213.00000, 185.80000,  53.71555
214, 214.00000, 145.30000,  12.17415
215, 215.00000, 152.80000,  19.84843
216, 216.00000, 149.20000,  30.94447
217, 217.00000, 436.80000,  83.72550
218, 218.00000, 163.30000,  28.26676
219, 219.00000, 158.40000,  36.29105
220, 220.00000, 152.50000,  16.86565
221, 221.00000, 163.50000,  15.66046
222, 222.00000, 144.30000,  10.84481
223, 223.00000, 243.10000, 135.99371
224, 224.00000, 147.10000,   9.67936
225, 225.00000, 144.10000,   9.83311
226, 226.00000, 146.20000,   8.82950
227, 227.00000, 217.80000,  39.07378
228, 228.00000, 208.40000,  59.12732
229, 229.00000, 197.10000,  57.50209
230, 230.00000, 500.00000,   0.00000
231, 231.00000, 443.10000,  85.06756
232, 232.00000, 500.00000,   0.00000
233, 233.00000, 500.00000,   0.00000
234, 234.00000, 500.00000,   0.00000
235, 235.00000, 500.00000,   0.00000
236, 236.00000, 500.00000,   0.00000
237, 237.00000, 500.00000,   0.00000
238, 238.00000, 500.00000,   0.00000
239, 239.00000, 500.00000,   0.00000
240, 240.00000, 434.00000, 102.31422
241, 241.00000, 497.80000,   6.60000
242, 242.00000, 295.80000,  82.72460
243, 243.00000, 278.80000,  38.14656
244, 244.00000, 168.50000, 110.77929
245, 245.00000, 488.80000,  33.60000
246, 246.00000, 374.30000, 137.16417
247, 247.00000, 387.60000,  84.31512
248, 248.00000, 404.80000,  95.75573
249, 249.00000, 427.50000,  77.44191
