,Episode,Mean,Stddev
0,   0.00000,  16.50000,   3.35410
1,   1.00000,  17.90000,   4.82597
2,   2.00000,  16.20000,   7.73046
3,   3.00000,  17.60000,   6.71118
4,   4.00000,  15.50000,   5.10392
5,   5.00000,  19.10000,   6.15549
6,   6.00000,  13.90000,   4.84665
7,   7.00000,  11.50000,   2.65518
8,   8.00000,  10.40000,   2.00998
9,   9.00000,   9.70000,   2.05183
10,  10.00000,  11.10000,   2.54755
11,  11.00000,  10.40000,   1.62481
12,  12.00000,   9.30000,   1.10000
13,  13.00000,   9.90000,   1.22066
14,  14.00000,   9.80000,   1.07703
15,  15.00000,   9.40000,   0.80000
16,  16.00000,  10.20000,   0.87178
17,  17.00000,  10.20000,   0.87178
18,  18.00000,  10.70000,   1.79165
19,  19.00000,  10.20000,   1.16619
20,  20.00000,  10.20000,   1.40000
21,  21.00000,   9.60000,   1.20000
22,  22.00000,  10.00000,   1.26491
23,  23.00000,   9.50000,   0.92195
24,  24.00000,   9.70000,   1.00499
25,  25.00000,   9.50000,   0.80623
26,  26.00000,   9.40000,   0.91652
27,  27.00000,   9.40000,   0.80000
28,  28.00000,   9.80000,   1.46969
29,  29.00000,   9.70000,   0.78102
30,  30.00000,   8.90000,   0.83066
31,  31.00000,   9.20000,   0.87178
32,  32.00000,   9.70000,   0.45826
33,  33.00000,   9.10000,   0.83066
34,  34.00000,   9.30000,   0.90000
35,  35.00000,   9.20000,   0.74833
36,  36.00000,   9.20000,   0.74833
37,  37.00000,   9.40000,   0.91652
38,  38.00000,  10.00000,   0.89443
39,  39.00000,   9.00000,   0.77460
40,  40.00000,   9.60000,   0.66332
41,  41.00000,   9.70000,   0.78102
42,  42.00000,   9.40000,   0.91652
43,  43.00000,   9.50000,   0.67082
44,  44.00000,   9.60000,   0.66332
45,  45.00000,   9.20000,   0.97980
46,  46.00000,   9.30000,   0.64031
47,  47.00000,  10.00000,   0.44721
48,  48.00000,   9.60000,   0.80000
49,  49.00000,   9.50000,   0.50000
50,  50.00000,   9.60000,   0.66332
51,  51.00000,   9.30000,   0.64031
52,  52.00000,   9.20000,   1.24900
53,  53.00000,   9.20000,   0.87178
54,  54.00000,   9.20000,   1.16619
55,  55.00000,   9.30000,   0.64031
56,  56.00000,   9.10000,   0.94340
57,  57.00000,   9.80000,   0.74833
58,  58.00000,   9.60000,   0.66332
59,  59.00000,  10.80000,   1.24900
