,Episode,Mean,Stddev
0,   0.00000,  34.30000,  12.10826
1,   1.00000,  48.60000,  16.80595
2,   2.00000,  29.00000,   8.04984
3,   3.00000,  24.20000,   6.72012
4,   4.00000,  26.20000,   6.14492
5,   5.00000,  21.90000,   5.18556
6,   6.00000,  22.40000,   5.40740
7,   7.00000,  20.70000,   5.34883
8,   8.00000,  22.10000,   5.16624
9,   9.00000,  23.00000,   4.89898
10,  10.00000,  22.20000,   4.28486
11,  11.00000,  18.50000,   5.86941
12,  12.00000,  22.40000,   5.40740
13,  13.00000,  20.80000,   5.30660
14,  14.00000,  21.90000,   5.16624
15,  15.00000,  19.40000,   5.88558
16,  16.00000,  21.00000,   5.36656
17,  17.00000,  20.00000,   6.19677
18,  18.00000,  19.30000,   4.69148
19,  19.00000,  21.20000,   4.60000
20,  20.00000,  16.50000,   5.02494
21,  21.00000,  19.10000,   6.74463
22,  22.00000,  18.60000,   6.00333
23,  23.00000,  19.40000,   6.15142
24,  24.00000,  18.50000,   5.85235
25,  25.00000,  17.10000,   5.62939
26,  26.00000,  21.80000,   5.07543
27,  27.00000,  19.10000,   5.16624
28,  28.00000,  20.90000,   4.88774
29,  29.00000,  15.90000,   5.18556
30,  30.00000,  22.20000,   5.67098
31,  31.00000,  17.70000,   6.14898
32,  32.00000,  23.00000,   5.01996
33,  33.00000,  20.70000,   5.34883
34,  34.00000,  18.70000,   5.36749
35,  35.00000,  21.30000,   5.88303
36,  36.00000,  18.50000,   5.40833
37,  37.00000,  19.40000,   6.24820
38,  38.00000,  21.70000,   5.86600
39,  39.00000,  20.40000,   4.69468
40,  40.00000,  20.10000,   3.64555
41,  41.00000,  15.70000,   4.47325
42,  42.00000,  18.70000,   6.35689
43,  43.00000,  20.90000,   5.08822
44,  44.00000,  16.10000,   5.22398
45,  45.00000,  16.60000,   5.14198
46,  46.00000,  20.80000,   4.09390
47,  47.00000,  16.50000,   5.38981
48,  48.00000,  19.40000,   5.88558
49,  49.00000,  23.00000,   2.00000
50,  50.00000,  22.20000,   2.95973
51,  51.00000,  21.60000,   3.82623
52,  52.00000,  19.00000,   6.18061
53,  53.00000,  17.80000,   5.92959
54,  54.00000,  22.30000,   6.85638
55,  55.00000,  16.50000,   4.03113
56,  56.00000,  17.30000,   6.26179
57,  57.00000,  18.40000,   6.63626
58,  58.00000,  20.80000,   5.01597
59,  59.00000,  23.50000,   5.08429
60,  60.00000,  20.10000,   4.98899
61,  61.00000,  19.30000,   6.69403
62,  62.00000,  19.60000,   5.90254
63,  63.00000,  18.20000,   6.96850
64,  64.00000,  17.10000,   5.85577
65,  65.00000,  16.90000,   4.80521
66,  66.00000,  19.00000,   5.72713
67,  67.00000,  19.80000,   5.58211
68,  68.00000,  20.60000,   5.90254
69,  69.00000,  19.40000,   5.10294
70,  70.00000,  21.60000,   3.90384
71,  71.00000,  17.90000,   5.68243
72,  72.00000,  17.50000,   5.31507
73,  73.00000,  19.60000,   6.15142
74,  74.00000,  17.30000,   5.17784
75,  75.00000,  20.30000,   6.18142
76,  76.00000,  17.90000,   5.88982
77,  77.00000,  19.60000,   7.11618
78,  78.00000,  21.50000,   6.53070
79,  79.00000,  19.50000,   4.90408
80,  80.00000,  22.50000,   4.31856
81,  81.00000,  18.60000,   6.48383
82,  82.00000,  17.70000,   5.58659
83,  83.00000,  19.00000,   6.44981
84,  84.00000,  21.20000,   5.86174
85,  85.00000,  21.60000,   5.78273
86,  86.00000,  22.30000,   5.21632
87,  87.00000,  20.10000,   5.64712
88,  88.00000,  18.70000,   5.44151
89,  89.00000,  20.00000,   6.22896
90,  90.00000,  22.70000,   4.96085
91,  91.00000,  23.70000,   4.33705
92,  92.00000,  19.00000,   6.41872
93,  93.00000,  18.50000,   6.97496
94,  94.00000,  20.60000,   5.33292
95,  95.00000,  19.00000,   4.79583
96,  96.00000,  19.20000,   6.19355
97,  97.00000,  19.60000,   5.85150
98,  98.00000,  20.90000,   5.26213
99,  99.00000,  18.20000,   5.72364
100, 100.00000,  18.70000,   4.40568
101, 101.00000,  21.10000,   5.31883
102, 102.00000,  19.20000,   5.30660
103, 103.00000,  20.30000,   4.51774
104, 104.00000,  21.20000,   5.40000
105, 105.00000,  21.60000,   4.38634
106, 106.00000,  20.60000,   7.21388
107, 107.00000,  22.90000,   6.18789
108, 108.00000,  18.70000,   5.06063
109, 109.00000,  22.00000,   5.07937
110, 110.00000,  22.50000,   5.95399
111, 111.00000,  19.30000,   4.49555
112, 112.00000,  18.40000,   7.13022
113, 113.00000,  17.70000,   5.47814
114, 114.00000,  22.60000,   5.91946
115, 115.00000,  20.30000,   5.47814
116, 116.00000,  18.90000,   5.35630
117, 117.00000,  19.80000,   6.24179
118, 118.00000,  17.60000,   6.18385
119, 119.00000,  23.60000,   4.05463
120, 120.00000,  25.70000,   8.30723
121, 121.00000,  23.80000,   6.88186
122, 122.00000,  20.10000,   6.64003
123, 123.00000,  28.90000,   5.53986
124, 124.00000,  17.60000,   5.76541
125, 125.00000,  18.90000,   5.16624
126, 126.00000,  34.40000,   8.13880
127, 127.00000,  27.60000,  10.77219
128, 128.00000,  26.20000,   6.77938
129, 129.00000,  25.00000,   4.33590
130, 130.00000,  23.90000,   7.43572
131, 131.00000,  30.90000,  11.42322
132, 132.00000,  41.30000,  17.29769
133, 133.00000,  31.70000,  12.32923
134, 134.00000,  33.70000,  19.72334
135, 135.00000,  64.00000,  25.98461
136, 136.00000,  89.20000,  20.21287
137, 137.00000, 112.60000,  15.66014
138, 138.00000, 115.40000,  17.64766
139, 139.00000, 115.00000,  22.84294
140, 140.00000, 118.60000,  10.61320
141, 141.00000,  99.00000,  13.82027
142, 142.00000, 110.70000,  23.81617
143, 143.00000,  94.10000,  17.13155
144, 144.00000,  86.20000,  10.79630
145, 145.00000,  81.60000,  12.07642
146, 146.00000, 116.20000,  52.00923
147, 147.00000, 110.10000,  20.06714
148, 148.00000, 125.90000,  27.98017
149, 149.00000, 151.60000,  27.43429
150, 150.00000, 126.40000,  16.42072
151, 151.00000, 206.70000,  42.81133
152, 152.00000, 196.20000,  15.54220
153, 153.00000, 248.90000,  71.78781
154, 154.00000, 225.50000,  26.74416
155, 155.00000, 230.80000,  20.74994
156, 156.00000, 500.00000,   0.00000
157, 157.00000, 500.00000,   0.00000
158, 158.00000, 500.00000,   0.00000
159, 159.00000, 500.00000,   0.00000
160, 160.00000, 500.00000,   0.00000
161, 161.00000, 232.70000,  16.53511
162, 162.00000, 290.50000,  20.12088
163, 163.00000, 471.10000,  33.67625
164, 164.00000, 267.80000,  11.16065
165, 165.00000, 276.10000,  20.92582
166, 166.00000, 221.30000,  10.34456
167, 167.00000, 239.20000,  14.97197
168, 168.00000, 254.80000,  11.07971
169, 169.00000, 340.20000,  30.85709
170, 170.00000, 437.90000,  32.97105
171, 171.00000, 228.80000,   9.89747
172, 172.00000, 230.40000,  15.55121
173, 173.00000, 257.60000,  12.72949
174, 174.00000, 262.40000,  14.16474
175, 175.00000, 277.40000,   9.60417
176, 176.00000, 254.90000,   8.40773
177, 177.00000, 249.80000,   7.85875
178, 178.00000, 234.30000,   9.07800
179, 179.00000, 257.30000,   9.37070
180, 180.00000, 285.40000,  11.11036
181, 181.00000, 238.00000,  10.71448
182, 182.00000, 243.00000,  11.00000
183, 183.00000, 252.40000,  10.27813
184, 184.00000, 293.50000,  10.24939
185, 185.00000, 250.50000,   5.95399
186, 186.00000, 282.10000,   8.68850
187, 187.00000, 280.90000,  12.46154
188, 188.00000, 251.30000,   8.41487
189, 189.00000, 278.20000,  14.02712
190, 190.00000, 254.70000,  12.20697
191, 191.00000, 251.90000,  10.43504
192, 192.00000, 219.50000,   6.07042
193, 193.00000, 246.90000,   6.15549
194, 194.00000, 265.00000,   8.36660
195, 195.00000, 246.80000,   6.70522
196, 196.00000, 320.00000,  24.10394
197, 197.00000, 254.70000,  11.10000
198, 198.00000, 224.40000,   5.90254
199, 199.00000, 252.60000,  10.37497
200, 200.00000, 226.80000,   8.04736
201, 201.00000, 260.20000,  11.44378
202, 202.00000, 213.10000,   9.41754
203, 203.00000, 253.20000,  12.89806
204, 204.00000, 235.60000,  10.90138
205, 205.00000, 243.30000,  19.69289
206, 206.00000, 233.50000,  14.45164
207, 207.00000, 425.50000,  53.45699
208, 208.00000, 284.60000,  26.96739
209, 209.00000, 253.80000,  11.61723
210, 210.00000, 251.20000,   9.24986
211, 211.00000, 243.40000,  16.29233
212, 212.00000, 257.50000,  17.88994
213, 213.00000, 234.50000,  10.92016
214, 214.00000, 198.60000,  11.39474
215, 215.00000, 248.20000,  11.36486
216, 216.00000, 253.70000,   9.63379
217, 217.00000, 192.00000,  10.97269
218, 218.00000, 218.80000,  11.38244
219, 219.00000, 436.60000,  80.21122
220, 220.00000, 261.40000,  24.46712
221, 221.00000, 246.60000,  10.54704
222, 222.00000, 243.00000,  25.00800
223, 223.00000, 269.40000,  77.99641
224, 224.00000, 500.00000,   0.00000
225, 225.00000, 228.00000,   8.40238
226, 226.00000, 204.80000,   9.76524
227, 227.00000, 500.00000,   0.00000
228, 228.00000, 213.10000,  12.60516
229, 229.00000, 374.60000,  84.93315
230, 230.00000, 220.10000,  15.58493
231, 231.00000, 246.10000,  12.90310
232, 232.00000, 205.70000,  11.56763
233, 233.00000, 211.60000,   7.33757
234, 234.00000, 476.60000,  53.50738
235, 235.00000, 479.40000,  61.80000
236, 236.00000, 201.90000,   5.99083
237, 237.00000, 311.30000, 107.52958
238, 238.00000, 224.00000,  12.19016
239, 239.00000, 261.20000,  44.35268
240, 240.00000, 431.90000,  94.93624
241, 241.00000, 341.20000,  61.31362
242, 242.00000, 498.50000,   4.50000
243, 243.00000, 188.60000,  12.02664
244, 244.00000, 177.00000,  10.64894
245, 245.00000, 214.60000,  11.29779
246, 246.00000, 218.00000,  11.47170
247, 247.00000, 236.90000,  27.44613
248, 248.00000, 402.30000,  80.08377
249, 249.00000, 263.10000,  22.96715
250, 250.00000, 224.00000,  12.02497
251, 251.00000, 500.00000,   0.00000
252, 252.00000, 214.80000,  16.61204
253, 253.00000, 176.10000,  26.05936
254, 254.00000, 252.30000,  17.36692
255, 255.00000, 219.20000,  15.34796
256, 256.00000, 318.40000,  21.73108
257, 257.00000, 243.70000, 109.37189
258, 258.00000, 296.40000,  20.76150
259, 259.00000, 192.00000,  10.64894
260, 260.00000, 189.80000,  56.96455
261, 261.00000, 225.00000,  57.50304
262, 262.00000, 191.60000,  89.97911
263, 263.00000, 222.90000,  60.61262
264, 264.00000, 291.40000, 124.99536
265, 265.00000, 316.40000,  27.90054
266, 266.00000, 196.20000,  66.78293
267, 267.00000, 162.70000,  17.00029
