,Episode,Mean,Stddev
0,   0.00000,  41.70000,  15.42757
1,   1.00000,  28.70000,   8.47408
2,   2.00000,  22.00000,   8.29458
3,   3.00000,  19.00000,   8.01249
4,   4.00000,  21.20000,   8.10925
5,   5.00000,  27.10000,   7.17565
6,   6.00000,  26.60000,   7.86384
7,   7.00000,  32.00000,   9.20869
8,   8.00000,  20.50000,   6.11964
9,   9.00000,  22.20000,   6.99714
10,  10.00000,  22.00000,   5.00000
11,  11.00000,  22.60000,   5.02394
12,  12.00000,  21.30000,   6.64906
13,  13.00000,  19.20000,   8.77268
14,  14.00000,  25.10000,   5.90678
15,  15.00000,  17.40000,   5.02394
16,  16.00000,  21.00000,   5.13809
17,  17.00000,  17.20000,   6.46220
18,  18.00000,  25.00000,   5.88218
19,  19.00000,  23.60000,   7.39189
20,  20.00000,  21.90000,   4.06079
21,  21.00000,  22.70000,   8.11234
22,  22.00000,  23.50000,   9.89192
23,  23.00000,  21.10000,   6.59469
24,  24.00000,  19.80000,   4.68615
25,  25.00000,  18.60000,   4.88262
26,  26.00000,  18.50000,   5.66127
27,  27.00000,  21.60000,   3.66606
28,  28.00000,  18.80000,   6.24179
29,  29.00000,  17.10000,   6.39453
30,  30.00000,  18.80000,   6.49307
31,  31.00000,  20.60000,   5.23832
32,  32.00000,  20.10000,   5.43047
33,  33.00000,  17.70000,   6.29365
34,  34.00000,  19.30000,   4.92037
35,  35.00000,  19.90000,   5.64712
36,  36.00000,  22.70000,   4.45084
37,  37.00000,  21.20000,   5.40000
38,  38.00000,  20.20000,   4.55631
39,  39.00000,  17.80000,   5.87878
40,  40.00000,  18.50000,   6.00417
41,  41.00000,  21.50000,   4.84252
42,  42.00000,  19.80000,   5.82752
43,  43.00000,  20.30000,   5.91692
44,  44.00000,  21.20000,   4.70744
45,  45.00000,  19.60000,   5.33292
46,  46.00000,  18.10000,   6.17171
47,  47.00000,  20.70000,   5.31131
48,  48.00000,  19.10000,   4.80521
49,  49.00000,  18.60000,   5.93633
50,  50.00000,  22.10000,   5.18556
51,  51.00000,  21.10000,   5.02892
52,  52.00000,  18.30000,   6.55820
53,  53.00000,  18.40000,   5.62494
54,  54.00000,  19.60000,   6.42184
55,  55.00000,  20.40000,   4.88262
56,  56.00000,  20.60000,   3.66606
57,  57.00000,  20.70000,   4.73392
58,  58.00000,  19.20000,   5.36284
59,  59.00000,  18.20000,   6.14492
60,  60.00000,  20.40000,   4.60869
61,  61.00000,  16.90000,   6.02412
62,  62.00000,  20.30000,   5.21632
63,  63.00000,  19.20000,   5.01597
64,  64.00000,  22.30000,   4.90000
65,  65.00000,  20.70000,   6.22977
66,  66.00000,  18.00000,   5.47723
67,  67.00000,  19.80000,   5.70614
68,  68.00000,  19.40000,   5.81722
69,  69.00000,  21.70000,   4.75500
70,  70.00000,  17.40000,   5.37029
71,  71.00000,  18.50000,   5.46352
72,  72.00000,  21.50000,   5.51815
73,  73.00000,  19.60000,   5.14198
74,  74.00000,  21.80000,   4.53431
75,  75.00000,  19.90000,   4.18210
76,  76.00000,  17.40000,   6.16766
77,  77.00000,  18.80000,   5.13420
78,  78.00000,  23.20000,  11.12475
79,  79.00000,  16.60000,   6.18385
80,  80.00000,  20.60000,   4.84149
81,  81.00000,  20.40000,   6.01997
82,  82.00000,  20.40000,   1.28062
83,  83.00000,  22.10000,   6.56430
84,  84.00000,  23.10000,   6.10655
85,  85.00000,  32.40000,  20.67946
86,  86.00000,  49.10000,  51.93544
87,  87.00000,  25.30000,   9.49789
88,  88.00000,  22.80000,   6.56963
89,  89.00000,  24.50000,   8.58196
90,  90.00000,  49.60000,  55.55574
91,  91.00000,  45.70000,  63.53117
92,  92.00000,  29.70000,   9.04489
93,  93.00000,  21.40000,   6.28013
94,  94.00000,  31.20000,  21.56757
95,  95.00000,  42.30000,  22.30717
96,  96.00000,  46.60000,  67.23570
97,  97.00000,  39.20000,  25.08306
98,  98.00000,  36.80000,  27.83451
99,  99.00000,  25.40000,   9.63535
100, 100.00000,  41.60000,  60.11522
101, 101.00000,  26.60000,   9.74885
102, 102.00000,  64.70000,  77.08833
103, 103.00000, 100.30000, 110.90812
104, 104.00000,  59.70000,  81.31796
105, 105.00000,  93.50000,  98.59539
106, 106.00000,  63.10000,  62.12157
107, 107.00000, 188.00000,  45.94997
108, 108.00000, 195.70000,  17.58437
109, 109.00000, 202.50000,  14.85429
110, 110.00000, 286.10000,  98.95196
111, 111.00000, 376.20000,  98.58681
112, 112.00000, 317.20000,  61.21242
113, 113.00000, 246.10000,  42.27162
114, 114.00000, 277.60000,  79.69843
115, 115.00000, 393.40000, 115.73867
116, 116.00000, 289.00000,  79.87991
117, 117.00000, 276.70000,  55.77643
118, 118.00000, 228.60000,  15.66014
119, 119.00000, 232.20000,  11.30310
120, 120.00000, 247.40000,  16.10093
121, 121.00000, 247.40000,  12.01832
122, 122.00000, 229.00000,  11.69615
123, 123.00000, 223.70000,  12.43423
124, 124.00000, 223.80000,   7.76917
125, 125.00000, 286.60000,   8.94651
126, 126.00000, 330.40000,  15.98249
127, 127.00000, 338.60000,  17.05989
128, 128.00000, 280.00000,  10.43072
129, 129.00000, 380.20000,  25.29348
130, 130.00000, 320.70000,  14.08581
131, 131.00000, 288.40000,  10.24890
132, 132.00000, 301.70000,   8.29518
133, 133.00000, 431.60000,  25.70292
134, 134.00000, 347.90000,  14.94958
135, 135.00000, 327.30000,  16.62558
136, 136.00000, 298.00000,  16.96467
137, 137.00000, 227.40000,  11.56028
138, 138.00000, 317.00000,  21.50349
139, 139.00000, 313.20000,  11.78813
140, 140.00000, 276.60000,  19.80505
141, 141.00000, 412.90000,  53.25120
142, 142.00000, 289.50000,  28.75848
143, 143.00000, 500.00000,   0.00000
144, 144.00000, 362.10000,  28.66165
145, 145.00000, 354.40000,  23.65671
146, 146.00000, 479.70000,  25.91544
147, 147.00000, 476.80000,  31.42547
148, 148.00000, 500.00000,   0.00000
149, 149.00000, 465.80000,  76.78125
150, 150.00000, 489.00000,  33.00000
151, 151.00000, 203.60000,  63.32014
152, 152.00000, 248.10000,  67.39800
153, 153.00000, 500.00000,   0.00000
154, 154.00000, 424.20000, 101.39803
155, 155.00000, 271.00000,  32.02499
156, 156.00000, 491.10000,  14.55644
157, 157.00000, 486.90000,  39.30000
158, 158.00000, 217.10000,  16.29386
159, 159.00000, 198.70000,  10.87244
160, 160.00000, 261.30000,  82.07320
161, 161.00000, 196.40000,  12.04326
162, 162.00000, 194.20000,  14.38610
163, 163.00000, 191.50000,  11.14675
164, 164.00000, 281.50000,  76.64105
165, 165.00000, 255.20000,  89.57098
166, 166.00000, 196.80000,   9.69330
167, 167.00000, 363.60000,  64.07215
168, 168.00000, 245.10000,  86.65270
169, 169.00000, 191.20000,   9.95791
170, 170.00000, 191.00000,  10.77033
171, 171.00000, 189.30000,   8.31925
172, 172.00000, 208.50000,   9.08020
173, 173.00000, 193.60000,   9.86103
174, 174.00000, 190.60000,  14.79324
175, 175.00000, 192.90000,   8.27587
176, 176.00000, 197.90000,   9.24608
177, 177.00000, 455.50000,  68.75064
178, 178.00000, 191.80000,   6.91086
179, 179.00000, 200.30000,   9.80867
180, 180.00000, 255.90000,  32.14483
181, 181.00000, 263.40000,  24.97679
182, 182.00000, 196.10000,   8.92693
183, 183.00000, 229.90000,  13.36750
184, 184.00000, 265.10000,  36.70000
185, 185.00000, 247.80000,  43.30312
186, 186.00000, 195.30000,   9.25257
187, 187.00000, 193.60000,   7.74855
188, 188.00000, 200.30000,  14.12126
189, 189.00000, 191.20000,  14.11241
190, 190.00000, 231.20000,  22.67510
191, 191.00000, 197.30000,  11.75627
192, 192.00000, 205.60000,  14.75940
193, 193.00000, 308.70000, 125.54605
194, 194.00000, 350.00000,  79.17575
195, 195.00000, 202.90000,  13.26235
196, 196.00000, 198.90000,   6.17171
197, 197.00000, 268.40000,  84.73512
198, 198.00000, 463.50000,  73.01678
199, 199.00000, 396.80000, 105.55548
200, 200.00000, 439.40000,  77.97589
201, 201.00000, 282.20000,  45.16370
202, 202.00000, 198.20000,  11.72007
203, 203.00000, 399.50000, 104.42246
204, 204.00000, 296.90000,  60.32321
205, 205.00000, 245.10000,  35.14100
206, 206.00000, 219.50000,  14.08723
207, 207.00000, 278.00000, 122.50633
208, 208.00000, 241.30000,  22.71145
209, 209.00000, 213.00000,  27.12195
210, 210.00000, 448.10000,  83.36720
211, 211.00000, 312.80000,  82.76932
212, 212.00000, 250.70000,  45.96749
213, 213.00000, 295.70000,  78.17807
214, 214.00000, 203.50000,  12.90155
215, 215.00000, 206.70000,  12.69685
216, 216.00000, 260.00000,  76.22336
217, 217.00000, 234.90000,  29.01534
218, 218.00000, 302.60000,  71.02704
219, 219.00000, 245.20000,  46.46891
220, 220.00000, 197.90000,  17.23050
221, 221.00000, 318.70000, 104.55243
222, 222.00000, 202.30000,  14.52618
223, 223.00000, 212.10000,  76.38514
224, 224.00000, 434.40000, 116.36855
225, 225.00000, 227.90000,  29.00845
226, 226.00000, 193.90000,  13.78731
227, 227.00000, 194.90000,  10.62497
228, 228.00000, 191.70000,  12.21515
229, 229.00000, 196.60000,  13.13164
230, 230.00000, 196.20000,  18.37825
231, 231.00000, 222.20000,  32.31965
232, 232.00000, 256.10000,  54.98991
233, 233.00000, 188.30000,  10.16907
234, 234.00000, 210.20000,  23.89895
235, 235.00000, 191.30000,  53.49963
