,Episode,Mean,Stddev
0,   0.00000,  18.10000,   4.94874
1,   1.00000,  25.40000,  15.19342
2,   2.00000,  26.50000,  17.33926
3,   3.00000,  21.40000,  14.41666
4,   4.00000,  12.80000,   4.04475
5,   5.00000,  12.60000,   3.66606
6,   6.00000,  10.70000,   1.55242
7,   7.00000,  11.30000,   3.19531
8,   8.00000,  11.80000,   2.56125
9,   9.00000,  12.00000,   4.44972
10,  10.00000,  10.90000,   1.97231
11,  11.00000,  10.40000,   2.05913
12,  12.00000,  11.10000,   1.86815
13,  13.00000,  10.10000,   1.13578
14,  14.00000,  10.00000,   1.54919
15,  15.00000,   9.60000,   0.80000
16,  16.00000,   9.80000,   0.87178
17,  17.00000,  11.30000,   3.06757
18,  18.00000,  10.50000,   1.43178
19,  19.00000,   9.40000,   1.01980
20,  20.00000,   9.80000,   1.07703
21,  21.00000,   9.90000,   1.70000
22,  22.00000,  10.00000,   1.00000
23,  23.00000,   9.70000,   1.10000
24,  24.00000,  10.20000,   1.32665
25,  25.00000,   9.70000,   1.26886
26,  26.00000,   9.80000,   1.32665
27,  27.00000,  10.00000,   1.00000
28,  28.00000,   9.90000,   0.53852
29,  29.00000,  10.10000,   1.04403
30,  30.00000,   9.60000,   0.66332
31,  31.00000,   9.20000,   0.74833
32,  32.00000,   9.50000,   0.67082
33,  33.00000,   9.70000,   0.90000
34,  34.00000,   9.70000,   1.90000
35,  35.00000,   9.90000,   0.53852
36,  36.00000,   9.60000,   0.80000
37,  37.00000,   9.50000,   0.67082
38,  38.00000,   9.60000,   1.01980
39,  39.00000,  11.60000,   7.49933
40,  40.00000,   9.00000,   0.44721
41,  41.00000,   9.70000,   0.78102
42,  42.00000,   9.30000,   0.90000
43,  43.00000,   9.30000,   0.78102
44,  44.00000,   9.50000,   0.67082
45,  45.00000,   9.40000,   0.48990
46,  46.00000,   9.30000,   0.78102
47,  47.00000,   9.40000,   0.48990
48,  48.00000,   9.40000,   0.80000
49,  49.00000,   9.50000,   0.80623
50,  50.00000,   9.60000,   0.91652
51,  51.00000,   9.40000,   0.66332
52,  52.00000,   9.20000,   0.40000
53,  53.00000,   9.30000,   0.45826
54,  54.00000,   9.10000,   0.70000
55,  55.00000,   9.30000,   0.90000
56,  56.00000,   9.60000,   0.66332
57,  57.00000,   9.80000,   0.74833
58,  58.00000,  30.90000,  26.74491
59,  59.00000,  12.80000,   4.93559
60,  60.00000,  17.70000,  12.01707
61,  61.00000,  27.10000,  14.87582
62,  62.00000,  27.40000,  12.55548
63,  63.00000,  55.90000,  21.11611
64,  64.00000,  94.60000,  43.97772
65,  65.00000, 129.90000,  58.34458
66,  66.00000,  55.10000,   7.16170
67,  67.00000,  53.50000,   8.65159
68,  68.00000,  52.80000,  16.61806
69,  69.00000,  45.50000,  14.00893
70,  70.00000,  49.60000,  18.38042
71,  71.00000,  63.40000,  30.54898
72,  72.00000,  58.00000,  42.40047
73,  73.00000,  69.30000,  36.88102
74,  74.00000, 112.50000,  67.43033
75,  75.00000, 100.70000,  51.23095
76,  76.00000, 114.50000,  46.79370
77,  77.00000,  89.80000,  29.48491
78,  78.00000,  74.50000,  18.56475
79,  79.00000, 144.30000,  81.75579
80,  80.00000,  80.40000,  10.52806
81,  81.00000,  98.80000,  41.76554
82,  82.00000,  90.30000,  16.91183
83,  83.00000, 132.10000,  70.53148
84,  84.00000, 173.50000,  20.64098
85,  85.00000, 138.00000,  34.02352
86,  86.00000, 164.70000,  26.37821
87,  87.00000, 179.80000,  17.76401
88,  88.00000, 284.90000,  62.78607
89,  89.00000, 324.00000,  96.46761
90,  90.00000, 286.40000,  38.29412
91,  91.00000, 226.00000,  30.71482
92,  92.00000, 228.90000,  35.28300
93,  93.00000, 243.40000,  51.06897
94,  94.00000, 239.50000,  32.73301
95,  95.00000, 287.80000,  75.83640
96,  96.00000, 222.00000,  18.94202
97,  97.00000, 275.20000,  30.76947
98,  98.00000, 262.20000,  29.37278
99,  99.00000, 245.30000,  18.50973
100, 100.00000, 265.40000,  26.25338
101, 101.00000, 237.60000,  18.95363
102, 102.00000, 271.60000,   9.90152
103, 103.00000, 306.10000,  65.04375
104, 104.00000, 236.30000,  14.61540
105, 105.00000, 218.30000,  11.75627
106, 106.00000, 267.50000,  17.73274
107, 107.00000, 247.60000,  15.23286
108, 108.00000, 236.60000,  11.94320
109, 109.00000, 246.20000,  11.83892
110, 110.00000, 227.70000,  12.63369
111, 111.00000, 260.60000,  14.21408
112, 112.00000, 233.60000,  14.15768
113, 113.00000, 243.90000,  10.57781
114, 114.00000, 268.40000,  14.60959
115, 115.00000, 253.50000,  18.70962
116, 116.00000, 287.60000,  24.21652
117, 117.00000, 269.50000,  15.69873
118, 118.00000, 280.20000,  15.89214
119, 119.00000, 302.70000,  23.67720
120, 120.00000, 438.70000,  52.46532
121, 121.00000, 321.10000,  26.26956
122, 122.00000, 308.30000,  11.61077
123, 123.00000, 321.30000,  48.76689
124, 124.00000, 349.60000,  23.69473
125, 125.00000, 277.40000,  60.89860
126, 126.00000, 407.70000,  53.08682
127, 127.00000, 350.20000,  47.24151
128, 128.00000, 225.50000,  76.38357
129, 129.00000, 294.00000,  48.31977
130, 130.00000, 293.60000,  62.35094
131, 131.00000, 290.50000,  49.56460
132, 132.00000, 463.90000,  52.89130
